Frequency,Min,Max
364,-5.8,5.682
365,-4.33,4.65
366,-5.33,2.48
367,-5.83,1.95
368,-6.21,1.322
369,-6.97,0.73
370,-6.262,0.35
371,-7.3,-1.34
372,-6.87,-1.13
373,-7.7,0
374,-7.81,-0.41
375,-8.01,0.16
376,-8.82,1.3
377,-8.62,1.7019
378,-6.89,1.2
379,-7.16,1.15
380,-7.1,1.5
381,-7.42,1.65
382,-7.59,1.92
383,-7.97,2.25
384,-8.57,2.12
385,-7.2,2.78
386,-10.553,3.08
387,-10.007,3.23
388,-9.33,2.79
389,-9.76,-1.68
390,-9.67,-2.11
391,-9.79,-2.01
392,-10.13,-1.67
393,-8.48,-2.1
394,-7.64,-2.14
395,-6.97,-1.945
396,-7.44,-1.3
397,-8.94,-1
398,-8.91,-0.9
399,-8.71,7.79
400,-8.022,7.98
401,-6.53,7.83
402,-8.03,8
403,-6.45,8.11
404,-5.36,8.37
405,-4.72,8.65
406,-3.63,9.1
407,-3.005,9.69
408,-2.025,10.33
409,-2.93,12.781
410,-1.87,12.618
411,-0.644,12.423
412,-1.66,12.32
413,-1.12,12.32
414,1.61,12.411
415,13.19,12.46
416,13.07,12.52
417,12.92,12.57
418,12.76,12.57
419,12.552,12.52
420,12.32,12.42
421,0.42,12.28
422,-1.69,12.199
423,-1.75,12.18
424,-1.97,12.23
425,-2.71,12.32
426,-3.81,12.37
427,-4.6,12.39
428,-5,12.36
429,-4.75,12.31
430,-4.53,12.21
431,-4.31,11.98
432,-4.26,11.71
433,-4.5,10.67
434,-6.41,8.73
435,-10.1,6.66
436,-13.88,2.3
437,-13.73,-0.76
438,-8.17,-6.6
439,-7.34,-11.5
440,-6.78,-11.41
441,-6.43,-9.76
442,-6.2,-8.6
443,-6.22,-8.5
444,-18.388,-8.26
445,-6.45,-9.98
446,-6.391,-8.756
447,-6.64,-6.87
448,-6.8,-6.887
449,-6.73,-6.97
450,-4.9,-6.87
451,-4.66,
452,-7.12,
453,-7.56,
454,-7.64,
455,-7.22,
456,-7.55,
457,-7.59,
458,-7.73,
459,-7.669,
460,-7.67,
